,time_abs(%Y-%m-%dT%H:%M:%S.%f),time_rel(sec),velocity(m/s)
49842,1970-01-19T02:05:23.985755,7523.320754716981,1.4836649098994227e-09
49843,1970-01-19T02:05:24.136698,7523.471698113208,1.486558620304758e-09
49844,1970-01-19T02:05:24.287642,7523.622641509434,1.4894523307100935e-09
49845,1970-01-19T02:05:24.438585,7523.773584905661,1.4923460411154291e-09
49846,1970-01-19T02:05:24.589528,7523.924528301887,1.4952397515207648e-09
49847,1970-01-19T02:05:24.740472,7524.075471698113,1.4981334619261002e-09
49848,1970-01-19T02:05:24.891415,7524.226415094339,1.5010271723314356e-09
49849,1970-01-19T02:05:25.042358,7524.377358490566,1.5039208827367712e-09
49850,1970-01-19T02:05:25.193302,7524.528301886792,1.5068145931421066e-09
49851,1970-01-19T02:05:25.344245,7524.679245283019,1.5097083035474423e-09
49852,1970-01-19T02:05:25.495189,7524.830188679245,9.80490504654572e-10
154943,1970-01-19T06:29:48.287642,23387.622641509435,9.245008452989758e-10
154944,1970-01-19T06:29:48.438585,23387.77358490566,1.122155995271977e-09
154945,1970-01-19T06:29:48.589528,23387.924528301886,9.508661726799975e-10
154997,1970-01-19T06:29:56.438585,23395.77358490566,9.320355518943392e-10
154998,1970-01-19T06:29:56.589528,23395.924528301886,9.33730144238642e-10
154999,1970-01-19T06:29:56.740472,23396.075471698117,9.354247365829447e-10
155000,1970-01-19T06:29:56.891415,23396.22641509434,9.37119328927207e-10
155001,1970-01-19T06:29:57.042358,23396.377358490565,9.388139212715099e-10
155002,1970-01-19T06:29:57.193302,23396.528301886792,9.405085136158127e-10
155003,1970-01-19T06:29:57.344245,23396.67924528302,9.422031059601156e-10
155004,1970-01-19T06:29:57.495189,23396.830188679247,9.438976983043775e-10
155005,1970-01-19T06:29:57.646132,23396.98113207547,9.455922906486803e-10
155006,1970-01-19T06:29:57.797075,23397.132075471694,9.472868829929834e-10
155007,1970-01-19T06:29:57.948019,23397.283018867925,9.48981475337286e-10
155008,1970-01-19T06:29:58.098962,23397.43396226415,9.506760676815483e-10
155050,1970-01-19T06:30:04.438585,23403.77358490566,9.609289656719155e-10
155051,1970-01-19T06:30:04.589528,23403.924528301886,9.531764812318395e-10
155052,1970-01-19T06:30:04.740472,23404.075471698117,9.454239967917635e-10
155053,1970-01-19T06:30:04.891415,23404.22641509434,9.376715123518743e-10
155054,1970-01-19T06:30:05.042358,23404.377358490565,9.299190279117985e-10
155055,1970-01-19T06:30:05.193302,23404.528301886792,9.221665434717228e-10
155056,1970-01-19T06:30:05.344245,23404.67924528302,9.144140590316467e-10
155057,1970-01-19T06:30:05.495189,23404.830188679247,9.066615745917578e-10
155058,1970-01-19T06:30:05.646132,23404.98113207547,8.989090901516818e-10
155059,1970-01-19T06:30:05.797075,23405.132075471694,8.91156605711606e-10
268881,1970-01-19T11:16:26.476321,40585.81132075472,9.50259835486853e-10
271355,1970-01-19T11:22:39.910283,40959.24528301887,9.100698537146742e-10
273431,1970-01-19T11:27:53.268774,41272.6037735849,9.084978337649744e-10
273432,1970-01-19T11:27:53.419717,41272.75471698113,9.375663921405775e-10
273433,1970-01-19T11:27:53.570660,41272.90566037736,9.666349505161807e-10
273434,1970-01-19T11:27:53.721604,41273.056603773584,9.957035088917839e-10
286897,1970-01-19T12:01:45.872547,43305.20754716981,1.0558684809661063e-09
286898,1970-01-19T12:01:46.023491,43305.35849056604,1.2316073489768715e-09
286899,1970-01-19T12:01:46.174434,43305.50943396227,1.299956760327892e-09
286900,1970-01-19T12:01:46.325377,43305.660377358494,1.251998312241268e-09
286901,1970-01-19T12:01:46.476321,43305.81132075472,1.174843144646344e-09
286902,1970-01-19T12:01:46.627264,43305.96226415094,1.1596533638461927e-09
286903,1970-01-19T12:01:46.778208,43306.11320754717,1.212508504507574e-09
286904,1970-01-19T12:01:46.929151,43306.2641509434,1.2583518220660068e-09
286905,1970-01-19T12:01:47.080094,43306.41509433962,1.230873727327129e-09
286906,1970-01-19T12:01:47.231038,43306.56603773585,1.1502192270395595e-09
286907,1970-01-19T12:01:47.381981,43306.71698113208,1.1015233276818008e-09
286908,1970-01-19T12:01:47.532925,43306.8679245283,1.133164843816709e-09
286909,1970-01-19T12:01:47.683868,43307.018867924526,1.1858396396996503e-09
286910,1970-01-19T12:01:47.834811,43307.16981132075,1.1405136694739378e-09
286911,1970-01-19T12:01:47.985755,43307.32075471698,9.490696941744695e-10
286950,1970-01-19T12:01:53.872547,43313.20754716981,1.1857266470501891e-09
286951,1970-01-19T12:01:54.023491,43313.35849056604,1.1474344282998284e-09
286952,1970-01-19T12:01:54.174434,43313.50943396227,1.1091422095513135e-09
286953,1970-01-19T12:01:54.325377,43313.660377358494,1.0708499908009526e-09
286954,1970-01-19T12:01:54.476321,43313.81132075472,1.032557772050592e-09
286955,1970-01-19T12:01:54.627264,43313.96226415094,9.942655533002314e-10
286956,1970-01-19T12:01:54.778208,43314.11320754717,9.559733345498707e-10
286957,1970-01-19T12:01:54.929151,43314.2641509434,9.176811157995101e-10
287015,1970-01-19T12:02:03.683868,43323.018867924526,9.183929488119543e-10
287016,1970-01-19T12:02:03.834811,43323.16981132075,9.689671508828515e-10
287017,1970-01-19T12:02:03.985755,43323.32075471698,1.019541352953749e-09
287018,1970-01-19T12:02:04.136698,43323.47169811321,1.0701155550246462e-09
287019,1970-01-19T12:02:04.287642,43323.62264150944,1.1206897570955436e-09
287020,1970-01-19T12:02:04.438585,43323.77358490566,1.171263959164003e-09
287021,1970-01-19T12:02:04.589528,43323.92452830189,1.2218381612349003e-09
287022,1970-01-19T12:02:04.740472,43324.07547169811,1.2724123633057979e-09
287023,1970-01-19T12:02:04.891415,43324.22641509434,1.322986565376695e-09
287024,1970-01-19T12:02:05.042358,43324.377358490565,1.3735607674475922e-09
287025,1970-01-19T12:02:05.193302,43324.52830188679,1.4241349695184896e-09
287026,1970-01-19T12:02:05.344245,43324.67924528302,1.474709171589387e-09
287027,1970-01-19T12:02:05.495189,43324.83018867925,1.5252833736602842e-09
287028,1970-01-19T12:02:05.646132,43324.981132075474,1.575857575728744e-09
287029,1970-01-19T12:02:05.797075,43325.1320754717,1.6264317777996415e-09
287030,1970-01-19T12:02:05.948019,43325.28301886792,1.6770059798705386e-09
287031,1970-01-19T12:02:06.098962,43325.43396226415,1.7275801819414356e-09
287032,1970-01-19T12:02:06.249906,43325.58490566038,1.778154384012333e-09
287033,1970-01-19T12:02:06.400849,43325.73584905661,1.8287285860832302e-09
287034,1970-01-19T12:02:06.551792,43325.88679245283,1.879302788154128e-09
287035,1970-01-19T12:02:06.702736,43326.03773584906,9.215568977711137e-10
287075,1970-01-19T12:02:12.740472,43332.07547169811,1.3506980198428183e-09
287076,1970-01-19T12:02:12.891415,43332.22641509434,1.7623182104062715e-09
287077,1970-01-19T12:02:13.042358,43332.377358490565,1.7525710006534102e-09
287078,1970-01-19T12:02:13.193302,43332.52830188679,1.7428237909005483e-09
287079,1970-01-19T12:02:13.344245,43332.67924528302,1.733076581147687e-09
287080,1970-01-19T12:02:13.495189,43332.83018867925,1.7233293713948252e-09
287081,1970-01-19T12:02:13.646132,43332.981132075474,1.7135821616424336e-09
287082,1970-01-19T12:02:13.797075,43333.1320754717,1.7038349518895723e-09
287083,1970-01-19T12:02:13.948019,43333.28301886792,1.6940877421367107e-09
287084,1970-01-19T12:02:14.098962,43333.43396226415,1.6843405323838492e-09
287085,1970-01-19T12:02:14.249906,43333.58490566038,1.674593322630988e-09
287086,1970-01-19T12:02:14.400849,43333.73584905661,1.6648461128781263e-09
287087,1970-01-19T12:02:14.551792,43333.88679245283,1.6550989031252646e-09
287088,1970-01-19T12:02:14.702736,43334.03773584906,1.645351693372873e-09
287089,1970-01-19T12:02:14.853679,43334.188679245286,1.6356044836200115e-09
287090,1970-01-19T12:02:15.004623,43334.33962264151,1.6258572738671503e-09
287091,1970-01-19T12:02:15.155566,43334.49056603773,1.6161100641142886e-09
287092,1970-01-19T12:02:15.306509,43334.64150943396,1.6063628543614271e-09
287093,1970-01-19T12:02:15.457453,43334.79245283019,1.5966156446085655e-09
287094,1970-01-19T12:02:15.608396,43334.943396226416,1.586868434855704e-09
287095,1970-01-19T12:02:15.759340,43335.09433962264,1.5771212251028428e-09
287096,1970-01-19T12:02:15.910283,43335.24528301887,1.5673740153504511e-09
287097,1970-01-19T12:02:16.061226,43335.3962264151,1.5576268055975895e-09
287098,1970-01-19T12:02:16.212170,43335.54716981132,1.547879595844728e-09
287099,1970-01-19T12:02:16.363113,43335.698113207545,1.5381323860918663e-09
287100,1970-01-19T12:02:16.514057,43335.84905660377,1.528385176339005e-09
287101,1970-01-19T12:02:16.665000,43336.0,1.5186379665861434e-09
287194,1970-01-19T12:02:30.702736,43350.03773584906,1.1032278189111327e-09
287195,1970-01-19T12:02:30.853679,43350.188679245286,1.4993383467309566e-09
287196,1970-01-19T12:02:31.004623,43350.33962264151,1.498808949022138e-09
287197,1970-01-19T12:02:31.155566,43350.49056603773,1.4982795513133194e-09
287198,1970-01-19T12:02:31.306509,43350.64150943396,1.4977501536045011e-09
287199,1970-01-19T12:02:31.457453,43350.79245283019,1.4972207558956822e-09
287200,1970-01-19T12:02:31.608396,43350.943396226416,1.4966913581868635e-09
287201,1970-01-19T12:02:31.759340,43351.09433962264,1.496161960478045e-09
287202,1970-01-19T12:02:31.910283,43351.24528301887,1.495632562769252e-09
287203,1970-01-19T12:02:32.061226,43351.3962264151,1.4951031650604335e-09
287204,1970-01-19T12:02:32.212170,43351.54716981132,1.494573767351615e-09
287205,1970-01-19T12:02:32.363113,43351.698113207545,1.4940443696427963e-09
287206,1970-01-19T12:02:32.514057,43351.84905660377,1.4935149719339774e-09
287207,1970-01-19T12:02:32.665000,43352.0,1.492985574225159e-09
287208,1970-01-19T12:02:32.815943,43352.15094339623,1.4924561765163402e-09
287209,1970-01-19T12:02:32.966887,43352.301886792455,1.4919267788075221e-09
287210,1970-01-19T12:02:33.117830,43352.45283018868,1.4913973810987287e-09
287211,1970-01-19T12:02:33.268774,43352.6037735849,1.4908679833899102e-09
287212,1970-01-19T12:02:33.419717,43352.75471698113,1.4903385856810915e-09
287213,1970-01-19T12:02:33.570660,43352.90566037736,1.489809187972273e-09
287214,1970-01-19T12:02:33.721604,43353.056603773584,1.4892797902634543e-09
287215,1970-01-19T12:02:33.872547,43353.20754716981,1.4887503925546356e-09
287216,1970-01-19T12:02:34.023491,43353.35849056604,1.0643579842941323e-09
303392,1970-01-19T12:43:15.683868,45795.018867924526,9.074791187807539e-10
340205,1970-01-19T14:15:52.363113,51351.698113207545,1.006276029118394e-09
340206,1970-01-19T14:15:52.514057,51351.84905660377,9.939619869551446e-10
340207,1970-01-19T14:15:52.665000,51352.0,9.816479447918947e-10
340208,1970-01-19T14:15:52.815943,51352.15094339623,9.693339026286454e-10
340209,1970-01-19T14:15:52.966887,51352.301886792455,9.570198604659894e-10
340212,1970-01-19T14:15:53.419717,51352.75471698113,9.346890228800479e-10
340213,1970-01-19T14:15:53.570660,51352.90566037736,1.0732485430452976e-09
340214,1970-01-19T14:15:53.721604,51353.056603773584,1.0851970203704143e-09
340215,1970-01-19T14:15:53.872547,51353.20754716981,1.0971454976955312e-09
340250,1970-01-19T14:15:59.155566,51358.49056603773,9.992927605534848e-10
340251,1970-01-19T14:15:59.306509,51358.64150943396,9.91152343520262e-10
340252,1970-01-19T14:15:59.457453,51358.79245283019,9.830119264870392e-10
340253,1970-01-19T14:15:59.608396,51358.943396226416,9.748715094538166e-10
340254,1970-01-19T14:15:59.759340,51359.09433962264,9.66731092420594e-10
340255,1970-01-19T14:15:59.910283,51359.24528301887,9.58590675387764e-10
340256,1970-01-19T14:16:00.061226,51359.3962264151,9.504502583545412e-10
340257,1970-01-19T14:16:00.212170,51359.54716981132,9.423098413213186e-10
340258,1970-01-19T14:16:00.363113,51359.698113207545,9.341694242880958e-10
340259,1970-01-19T14:16:00.514057,51359.84905660377,9.260290072548731e-10
340260,1970-01-19T14:16:00.665000,51360.0,9.178885902216505e-10
340261,1970-01-19T14:16:00.815943,51360.15094339623,9.097481731884281e-10
340262,1970-01-19T14:16:00.966887,51360.301886792455,9.016077561555976e-10
340263,1970-01-19T14:16:01.117830,51360.45283018868,8.93467339122375e-10
342446,1970-01-19T14:21:30.627264,51689.96226415094,8.918541405457851e-10
342447,1970-01-19T14:21:30.778208,51690.11320754717,9.008704080869065e-10
342448,1970-01-19T14:21:30.929151,51690.2641509434,9.09886675628028e-10
342449,1970-01-19T14:21:31.080094,51690.41509433962,9.189029431691495e-10
342450,1970-01-19T14:21:31.231038,51690.56603773585,9.279192107098363e-10
342451,1970-01-19T14:21:31.381981,51690.71698113208,9.36935478250958e-10
342452,1970-01-19T14:21:31.532925,51690.8679245283,9.459517457920795e-10
342453,1970-01-19T14:21:31.683868,51691.018867924526,9.549680133332007e-10
342454,1970-01-19T14:21:31.834811,51691.16981132075,9.639842808743223e-10
342455,1970-01-19T14:21:31.985755,51691.32075471698,9.73000548415444e-10
342456,1970-01-19T14:21:32.136698,51691.47169811321,9.820168159565654e-10
342457,1970-01-19T14:21:32.287642,51691.62264150944,9.91033083497687e-10
342458,1970-01-19T14:21:32.438585,51691.77358490566,1.0000493510383738e-09
342459,1970-01-19T14:21:32.589528,51691.92452830189,1.0090656185794954e-09
342460,1970-01-19T14:21:32.740472,51692.07547169811,1.0180818861206166e-09
342461,1970-01-19T14:21:32.891415,51692.22641509434,9.962881318645747e-10
342462,1970-01-19T14:21:33.042358,51692.377358490565,1.023126559459782e-09
342463,1970-01-19T14:21:33.193302,51692.52830188679,9.315623312394024e-10
347491,1970-01-19T14:34:12.136698,52451.47169811321,9.630936693549714e-10
347492,1970-01-19T14:34:12.287642,52451.62264150944,1.1390971368064866e-09
347493,1970-01-19T14:34:12.438585,52451.77358490566,1.1552028027315443e-09
347494,1970-01-19T14:34:12.589528,52451.92452830189,1.1047218862417862e-09
347495,1970-01-19T14:34:12.740472,52452.07547169811,1.134682041178304e-09
347496,1970-01-19T14:34:12.891415,52452.22641509434,1.3441320809565795e-09
347497,1970-01-19T14:34:13.042358,52452.377358490565,1.33205142383949e-09
347498,1970-01-19T14:34:13.193302,52452.52830188679,1.3199707667224007e-09
347499,1970-01-19T14:34:13.344245,52452.67924528302,1.3078901096053112e-09
347500,1970-01-19T14:34:13.495189,52452.83018867925,1.295809452488804e-09
347501,1970-01-19T14:34:13.646132,52452.981132075474,1.2837287953717143e-09
347502,1970-01-19T14:34:13.797075,52453.1320754717,1.271648138254625e-09
347503,1970-01-19T14:34:13.948019,52453.28301886792,1.2695375961853656e-09
347504,1970-01-19T14:34:14.098962,52453.43396226415,1.2780663300259291e-09
347505,1970-01-19T14:34:14.249906,52453.58490566038,1.2865950638664922e-09
347506,1970-01-19T14:34:14.400849,52453.73584905661,1.2951237977070555e-09
347507,1970-01-19T14:34:14.551792,52453.88679245283,1.303652531547619e-09
347508,1970-01-19T14:34:14.702736,52454.03773584906,1.3121812653877712e-09
347509,1970-01-19T14:34:14.853679,52454.188679245286,1.0392339958113304e-09
347510,1970-01-19T14:34:15.004623,52454.33962264151,9.68516928645733e-10
347511,1970-01-19T14:34:15.155566,52454.49056603773,1.025503078294382e-09
347512,1970-01-19T14:34:15.306509,52454.64150943396,1.0340019860415054e-09
347513,1970-01-19T14:34:15.457453,52454.79245283019,8.90471581764282e-10
347668,1970-01-19T14:34:38.853679,52478.188679245286,8.96717477183202e-10
347669,1970-01-19T14:34:39.004623,52478.33962264151,9.192704485702201e-10
347670,1970-01-19T14:34:39.155566,52478.49056603773,9.418234199572384e-10
347671,1970-01-19T14:34:39.306509,52478.64150943396,9.643763913442566e-10
347672,1970-01-19T14:34:39.457453,52478.79245283019,9.869293627312748e-10
347673,1970-01-19T14:34:39.608396,52478.943396226416,1.0094823341182932e-09
347674,1970-01-19T14:34:39.759340,52479.09433962264,1.0320353055053114e-09
347675,1970-01-19T14:34:39.910283,52479.24528301887,1.0545882768912422e-09
347676,1970-01-19T14:34:40.061226,52479.3962264151,1.0771412482782604e-09
347677,1970-01-19T14:34:40.212170,52479.54716981132,1.0996942196652786e-09
347678,1970-01-19T14:34:40.363113,52479.698113207545,1.122247191052297e-09
347679,1970-01-19T14:34:40.514057,52479.84905660377,1.1448001624393152e-09
347680,1970-01-19T14:34:40.665000,52480.0,1.1673531338263334e-09
347681,1970-01-19T14:34:40.815943,52480.15094339623,1.1899061052133516e-09
347682,1970-01-19T14:34:40.966887,52480.301886792455,1.2124590765992827e-09
347683,1970-01-19T14:34:41.117830,52480.45283018868,1.235012047986301e-09
347684,1970-01-19T14:34:41.268774,52480.6037735849,1.257565019373319e-09
347685,1970-01-19T14:34:41.419717,52480.75471698113,1.2801179907603375e-09
347686,1970-01-19T14:34:41.570660,52480.90566037736,1.3026709621473554e-09
347687,1970-01-19T14:34:41.721604,52481.056603773584,1.325223933534374e-09
347688,1970-01-19T14:34:41.872547,52481.20754716981,1.347776904921392e-09
347689,1970-01-19T14:34:42.023491,52481.35849056604,1.3703298763084102e-09
347690,1970-01-19T14:34:42.174434,52481.50943396227,1.059033776737457e-09
347746,1970-01-19T14:34:50.627264,52489.96226415094,9.012346855164011e-10
347747,1970-01-19T14:34:50.778208,52490.11320754717,9.151391436374321e-10
348318,1970-01-19T14:36:16.966887,52576.301886792455,9.98249360490863e-10
348319,1970-01-19T14:36:17.117830,52576.45283018868,1.192181848792975e-09
348320,1970-01-19T14:36:17.268774,52576.6037735849,1.2826913503514383e-09
348321,1970-01-19T14:36:17.419717,52576.75471698113,1.2096275230342052e-09
348322,1970-01-19T14:36:17.570660,52576.90566037736,1.0033697320227592e-09
348325,1970-01-19T14:36:18.023491,52577.35849056604,9.916224761218243e-10
348326,1970-01-19T14:36:18.174434,52577.50943396227,9.772254650400787e-10
348327,1970-01-19T14:36:18.325377,52577.660377358494,9.62828453957639e-10
348328,1970-01-19T14:36:18.476321,52577.81132075472,9.484314428751994e-10
348329,1970-01-19T14:36:18.627264,52577.96226415094,9.340344317927595e-10
348330,1970-01-19T14:36:18.778208,52578.11320754717,9.196374207103199e-10
348333,1970-01-19T14:36:19.231038,52578.56603773585,1.2024306036875664e-09
348334,1970-01-19T14:36:19.381981,52578.71698113208,1.168346446877397e-09
348335,1970-01-19T14:36:19.532925,52578.8679245283,1.1342622900672283e-09
348336,1970-01-19T14:36:19.683868,52579.018867924526,1.1001781332570592e-09
348373,1970-01-19T14:36:25.268774,52584.6037735849,1.069463969717724e-09
348374,1970-01-19T14:36:25.419717,52584.75471698113,1.04970291130239e-09
348375,1970-01-19T14:36:25.570660,52584.90566037736,1.0299418528870564e-09
348376,1970-01-19T14:36:25.721604,52585.056603773584,1.0101807944717228e-09
348377,1970-01-19T14:36:25.872547,52585.20754716981,9.90419736056389e-10
348378,1970-01-19T14:36:26.023491,52585.35849056604,9.706586776410554e-10
348379,1970-01-19T14:36:26.174434,52585.50943396227,9.50897619226674e-10
348380,1970-01-19T14:36:26.325377,52585.660377358494,9.311365608113403e-10
348381,1970-01-19T14:36:26.476321,52585.81132075472,9.113755023960065e-10
348382,1970-01-19T14:36:26.627264,52585.96226415094,8.916144439806727e-10
348500,1970-01-19T14:36:44.438585,52603.77358490566,9.194052915020367e-10
348501,1970-01-19T14:36:44.589528,52603.92452830189,9.51603304351012e-10
348502,1970-01-19T14:36:44.740472,52604.07547169811,9.838013171999872e-10
348503,1970-01-19T14:36:44.891415,52604.22641509434,1.0159993300489622e-09
348504,1970-01-19T14:36:45.042358,52604.377358490565,1.0481973428979372e-09
348505,1970-01-19T14:36:45.193302,52604.52830188679,1.0803953557469122e-09
348506,1970-01-19T14:36:45.344245,52604.67924528302,1.1125933685958875e-09
348507,1970-01-19T14:36:45.495189,52604.83018867925,1.1447913814433103e-09
348508,1970-01-19T14:36:45.646132,52604.981132075474,1.1769893942922855e-09
350756,1970-01-19T14:42:24.966887,52944.301886792455,9.512921752904527e-10
350757,1970-01-19T14:42:25.117830,52944.45283018868,9.430820051960527e-10
350760,1970-01-19T14:42:25.570660,52944.90566037736,9.56785622693833e-10
350761,1970-01-19T14:42:25.721604,52945.056603773584,1.2555388898018884e-09
350762,1970-01-19T14:42:25.872547,52945.20754716981,1.2939135682933383e-09
350763,1970-01-19T14:42:26.023491,52945.35849056604,1.3322882467847887e-09
350764,1970-01-19T14:42:26.174434,52945.50943396227,1.3706629252743886e-09
350765,1970-01-19T14:42:26.325377,52945.660377358494,1.409037603765839e-09
350766,1970-01-19T14:42:26.476321,52945.81132075472,1.447412282257289e-09
350767,1970-01-19T14:42:26.627264,52945.96226415094,1.2550364477513982e-09
350768,1970-01-19T14:42:26.778208,52946.11320754717,1.2740805472166567e-09
350769,1970-01-19T14:42:26.929151,52946.2641509434,1.4554640024413523e-09
350770,1970-01-19T14:42:27.080094,52946.41509433962,1.403359273582265e-09
350771,1970-01-19T14:42:27.231038,52946.56603773585,1.3512545447256887e-09
350772,1970-01-19T14:42:27.381981,52946.71698113208,1.299149815866601e-09
350773,1970-01-19T14:42:27.532925,52946.8679245283,1.2470450870075135e-09
350774,1970-01-19T14:42:27.683868,52947.018867924526,1.0267941974282794e-09
350775,1970-01-19T14:42:27.834811,52947.16981132075,9.282812003592267e-10
350776,1970-01-19T14:42:27.985755,52947.32075471698,9.349644458688642e-10
350777,1970-01-19T14:42:28.136698,52947.47169811321,9.577353801702052e-10
350778,1970-01-19T14:42:28.287642,52947.62264150944,8.960111237923701e-10
350811,1970-01-19T14:42:33.268774,52952.6037735849,1.3898766973159556e-09
350812,1970-01-19T14:42:33.419717,52952.75471698113,1.3521389774096838e-09
350813,1970-01-19T14:42:33.570660,52952.90566037736,1.3144012575034115e-09
350814,1970-01-19T14:42:33.721604,52953.056603773584,1.2766635375971394e-09
350815,1970-01-19T14:42:33.872547,52953.20754716981,1.2389258176908676e-09
350816,1970-01-19T14:42:34.023491,52953.35849056604,1.2011880977845955e-09
350817,1970-01-19T14:42:34.174434,52953.50943396227,1.1634503778801427e-09
350818,1970-01-19T14:42:34.325377,52953.660377358494,1.1257126579738706e-09
350819,1970-01-19T14:42:34.476321,52953.81132075472,1.0879749380675988e-09
350820,1970-01-19T14:42:34.627264,52953.96226415094,1.0502372181613267e-09
350821,1970-01-19T14:42:34.778208,52954.11320754717,1.0124994982550547e-09
350822,1970-01-19T14:42:34.929151,52954.2641509434,9.747617783487826e-10
350823,1970-01-19T14:42:35.080094,52954.41509433962,9.370240584425103e-10
350824,1970-01-19T14:42:35.231038,52954.56603773585,8.992863385380577e-10
350928,1970-01-19T14:42:50.929151,52970.2641509434,1.0949419992293342e-09
350929,1970-01-19T14:42:51.080094,52970.41509433962,1.1099602279127242e-09
350930,1970-01-19T14:42:51.231038,52970.56603773585,1.1249784565953907e-09
350931,1970-01-19T14:42:51.381981,52970.71698113208,1.139996685278781e-09
350932,1970-01-19T14:42:51.532925,52970.8679245283,1.155014913962171e-09
350933,1970-01-19T14:42:51.683868,52971.018867924526,1.1700331426455615e-09
350934,1970-01-19T14:42:51.834811,52971.16981132075,1.1850513713289515e-09
350935,1970-01-19T14:42:51.985755,52971.32075471698,1.2000696000123418e-09
350936,1970-01-19T14:42:52.136698,52971.47169811321,1.215087828695732e-09
350937,1970-01-19T14:42:52.287642,52971.62264150944,1.2301060573791223e-09
350938,1970-01-19T14:42:52.438585,52971.77358490566,1.2451242860617886e-09
350939,1970-01-19T14:42:52.589528,52971.92452830189,1.2601425147451786e-09
350940,1970-01-19T14:42:52.740472,52972.07547169811,1.275160743428569e-09
350941,1970-01-19T14:42:52.891415,52972.22641509434,1.2901789721119591e-09
350942,1970-01-19T14:42:53.042358,52972.377358490565,1.3051972007953494e-09
350943,1970-01-19T14:42:53.193302,52972.52830188679,1.3202154294787399e-09
350944,1970-01-19T14:42:53.344245,52972.67924528302,1.3352336581621301e-09
350945,1970-01-19T14:42:53.495189,52972.83018867925,1.3502518868447962e-09
350946,1970-01-19T14:42:53.646132,52972.981132075474,1.3652701155281864e-09
350947,1970-01-19T14:42:53.797075,52973.1320754717,1.3802883442115767e-09
350948,1970-01-19T14:42:53.948019,52973.28301886792,1.395306572894967e-09
350949,1970-01-19T14:42:54.098962,52973.43396226415,1.410324801578357e-09
350950,1970-01-19T14:42:54.249906,52973.58490566038,1.4253430302617475e-09
350951,1970-01-19T14:42:54.400849,52973.73584905661,1.0248502703756947e-09
351579,1970-01-19T14:44:29.193302,53068.52830188679,9.5088434886461e-10
351580,1970-01-19T14:44:29.344245,53068.67924528302,1.1533230395533032e-09
351581,1970-01-19T14:44:29.495189,53068.83018867925,1.3319686205652267e-09
351582,1970-01-19T14:44:29.646132,53068.981132075474,1.320266700335557e-09
351583,1970-01-19T14:44:29.797075,53069.1320754717,1.3085647801058879e-09
351584,1970-01-19T14:44:29.948019,53069.28301886792,1.152800773177533e-09
351585,1970-01-19T14:44:30.098962,53069.43396226415,1.072170633902144e-09
351586,1970-01-19T14:44:30.249906,53069.58490566038,1.1627750309365506e-09
351587,1970-01-19T14:44:30.400849,53069.73584905661,1.198998189877383e-09
